eval_id	interface	k1	k2	lambda.CovMultiplier	phi.CovMultiplier	lambda	phi	
1	1	926.0012993160586	920.3539785778594	1.678143836331474	0.2473327111414565	1031.070076343616	1.4169604784310912	
2	1	947.4554216981351	986.3032801489808	2.317556507110716	0.4828322365311269	1073.359551873299	1.3947059295985216	
3	1	961.4957012900156	929.1855068649955	1.3670053975221745	0.21735239101347364	1077.444334042017	1.4317420327860004	
4	1	973.5068917234089	854.4027851068063	1.5891600208465286	0.337300506268525	1058.39964954745	1.5025945215190801	
5	1	941.3163580726077	927.1275617922373	1.7694645554817174	0.3053970033215404	1058.0755167416191	1.4219194701624305	
6	1	921.5428444144248	948.5954324308098	2.0346058224374346	0.34954112654758096	1002.0042006146041	1.40735507523051	
7	1	968.282696585071	950.0674399799477	1.5868108483993233	0.29734639972692206	1087.8532271058298	1.423784528476704	
8	1	916.8978362177912	901.8274709776182	2.149201219222219	0.38798471170267274	1030.4832829382801	1.422554462235984	
9	1	984.1460677446215	979.0769599936718	1.3644118899334783	0.2502851284217045	1107.930436935688	1.4167692935648313	
10	1	978.4507399805584	870.9440853581816	1.4560194328314746	0.2967497970003037	1094.6583855502972	1.4845577669450858	
