Run #	E	P	A1	A2	Node_3_Disp	
1,	187440,	21601.9,	261.362,	529.454,	-6.57071,	
2,	209015,	27738.9,	263.521,	556.559,	-7.36256,	
3,	212380,	21935.1,	200.492,	519.045,	-6.90304,	
4,	223215,	24382,	246.817,	468.336,	-6.80114,	
5,	228734,	25449,	274.741,	441.012,	-6.76674,	
6,	238048,	26428.2,	219.427,	505.701,	-7.11688,	
7,	164677,	32189.9,	234.699,	433.876,	-12.9615,	
8,	196573,	23636.7,	282.843,	490.333,	-6.82939,	
9,	177719,	23775.7,	243.597,	483.871,	-8.25892,	
10,	204265,	25739.8,	251.403,	564.294,	-7.13183,	
